Ceiling type,Deck construction,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Total Price
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tar and gravel,Light,nan,R-30 to R-32
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tar and gravel,Light,nan,R-33 to R-35
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,nan
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-2
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-3
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-4
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-5
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-6
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-7
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-10
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-12
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-15
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-17 or 18
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-20
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-21 to R-23
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-24 to R-26
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-27 to R-29
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-30 to R-32
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Dark,nan,R-33 to R-35
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,nan
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-2
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-3
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-4
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-5
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-6
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-7
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-10
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-12
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-15
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-17 or 18
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-20
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-21 to R-23
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-24 to R-26
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-27 to R-29
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-30 to R-32
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,Light,nan,R-33 to R-35
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,nan
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-2
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-3
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-4
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-5
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-6
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-7
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-10
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-12
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-15
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-17 or 18
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-20
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-21 to R-23
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-24 to R-26
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-27 to R-29
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-30 to R-32
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Tile,White,nan,R-33 to R-35
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,nan
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-2
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-3
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-4
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-5
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-6
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-7
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-10
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-12
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-15
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-17 or 18
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-20
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-21 to R-23
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-24 to R-26
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-27 to R-29
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-30 to R-32
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Dark,nan,R-33 to R-35
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,nan
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-2
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-3
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-4
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-5
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-6
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-7
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-10
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-12
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-15
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-17 or 18
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-20
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-21 to R-23
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-24 to R-26
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-27 to R-29
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-30 to R-32
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,Light,nan,R-33 to R-35
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,nan
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-2
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-3
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-4
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-5
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-6
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-7
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-10
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-12
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-15
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-17 or 18
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-20
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-21 to R-23
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-24 to R-26
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-27 to R-29
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-30 to R-32
Ceiling on exposed beams,"1.5"" wood",nan,nan,nan,Wood shakes,White,nan,R-33 to R-35
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Asphalt shingles,Dark,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Asphalt shingles,Light,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Asphalt shingles,White,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Membrane,Dark,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Membrane,Light,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Membrane,White,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Metal,Dark,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Metal,Light,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Metal,White,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Tar and gravel,Dark,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Tar and gravel,Light,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Tile,Dark,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Tile,Light,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Tile,White,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Wood shakes,Dark,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Wood shakes,Light,nan,nan
Ceiling on exposed beams,"2"" cement fiber slab",nan,nan,nan,Wood shakes,White,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Asphalt shingles,Dark,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Asphalt shingles,Light,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Asphalt shingles,White,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Membrane,Dark,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Membrane,Light,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Membrane,White,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Metal,Dark,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Metal,Light,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Metal,White,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Tar and gravel,Dark,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Tar and gravel,Light,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Tar and gravel,White,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Tile,Dark,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Tile,Light,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Tile,White,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Wood shakes,Dark,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Wood shakes,Light,nan,nan
Ceiling on exposed beams,"3"" cement fiber slab",nan,nan,nan,Wood shakes,White,nan,nan
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,nan
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-7
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-11
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-13
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-15
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-19
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-21
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-25
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-28
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-30
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-38
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-44
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-50
Ceiling under attic or attic knee wall,nan,nan,No,No,nan,nan,nan,R-56
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,nan
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-7
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-11
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-13
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-15
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-19
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-21
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-25
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-28
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-30
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-38
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-44
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-50
Ceiling under attic or attic knee wall,nan,nan,No,Yes,nan,nan,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Asphalt shingles,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Membrane,White,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Metal,White,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-38
